# Model:
# Number_of_Rigid_Bodies:2
# Number_of_Frames:101
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy
91.0,0.91,0.5652,-0.4818,1.1305,-0.9635,1.8708,-0.9048,1.4807,0.1175
92.0,0.92,0.5124,-0.4495,1.0249,-0.899,1.7051,-0.8548,1.3605,0.0884
93.0,0.93,0.4572,-0.4117,0.9144,-0.8234,1.5289,-0.7915,1.2289,0.0639
94.0,0.94,0.3996,-0.3683,0.7993,-0.7367,1.3423,-0.7148,1.0861,0.0438
95.0,0.95,0.3397,-0.3195,0.6794,-0.639,1.1455,-0.6249,0.9323,0.0282
96.0,0.96,0.2773,-0.2653,0.5547,-0.5307,0.9384,-0.5223,0.7675,0.0167
97.0,0.97,0.2124,-0.206,0.4249,-0.4121,0.7208,-0.4076,0.5918,0.0088
98.0,0.98,0.1448,-0.1418,0.2895,-0.2836,0.4922,-0.2816,0.4053,0.004
99.0,0.99,0.0741,-0.073,0.1482,-0.146,0.2522,-0.1453,0.208,0.0014
100.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0

# ***** Accelerations [m.s^-2] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy
0.0,0.0,-0.8363,-0.6754,-1.6725,-1.3508,-1.6497,-2.4197,0.0457,-2.1377
1.0,0.01,-1.2771,-0.273,-2.5541,-0.5461,-3.2559,0.497,-1.4035,2.0862
2.0,0.02,-1.3059,-0.2775,-2.6117,-0.5551,-3.3131,0.5026,-1.4027,2.1154
3.0,0.03,-1.3323,-0.2794,-2.6646,-0.5588,-3.3647,0.5157,-1.4001,2.149
4.0,0.04,-1.3563,-0.2787,-2.7125,-0.5573,-3.4103,0.5362,-1.3955,2.1871
5.0,0.05,-1.3776,-0.2753,-2.7551,-0.5507,-3.4495,0.5642,-1.3887,2.2298
6.0,0.06,-1.396,-0.2695,-2.792,-0.5389,-3.4817,0.5996,-1.3795,2.2771
7.0,0.07,-1.4115,-0.2611,-2.8229,-0.5223,-3.5067,0.6422,-1.3675,2.329
8.0,0.08,-1.4238,-0.2504,-2.8476,-0.5008,-3.5239,0.6919,-1.3526,2.3856
9.0,0.09,-1.4328,-0.2374,-2.8657,-0.4748,-3.5329,0.7486,-1.3344,2.4467
10.0,0.1,-1.4385,-0.2221,-2.877,-0.4443,-3.5334,0.8119,-1.3128,2.5123
11.0,0.11,-1.4406,-0.2048,-2.8813,-0.4097,-3.525,0.8815,-1.2874,2.5824
12.0,0.12,-1.4392,-0.1855,-2.8784,-0.3711,-3.5074,0.9573,-1.2581,2.6567
13.0,0.13,-1.434,-0.1644,-2.8681,-0.3289,-3.4803,1.0387,-1.2245,2.7351
14.0,0.14,-1.4251,-0.1417,-2.8502,-0.2834,-3.4435,1.1253,-1.1865,2.8174
15.0,0.15,-1.4124,-0.1174,-2.8248,-0.2348,-3.3967,1.2168,-1.1439,2.9033
16.0,0.16,-1.3958,-0.0918,-2.7916,-0.1836,-3.3398,1.3127,-1.0964,2.9926
17.0,0.17,-1.3753,-0.065,-2.7506,-0.13,-3.2726,1.4125,-1.044,3.0849
18.0,0.18,-1.351,-0.0373,-2.7019,-0.0745,-3.1951,1.5155,-0.9863,3.18
19.0,0.19,-1.3228,-0.0087,-2.6455,-0.0174,-3.1072,1.6214,-0.9234,3.2775
20.0,0.2,-1.2907,0.0205,-2.5814,0.0409,-3.009,1.7294,-0.8551,3.377
21.0,0.21,-1.2549,0.05,-2.5097,0.1,-2.9004,1.8391,-0.7814,3.4781
22.0,0.22,-1.2153,0.0798,-2.4307,0.1596,-2.7817,1.9497,-0.7022,3.5803
23.0,0.23,-1.1722,0.1096,-2.3443,0.2192,-2.653,2.0608,-0.6174,3.6832
24.0,0.24,-1.1255,0.1392,-2.251,0.2784,-2.5146,2.1716,-0.5272,3.7864
25.0,0.25,-1.0754,0.1685,-2.1508,0.3369,-2.3666,2.2816,-0.4316,3.8893
26.0,0.26,-1.0221,0.1972,-2.0441,0.3943,-2.2094,2.3901,-0.3306,3.9915
