Time,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0.6,-0.1668,1.313,-0.1799,0.8048,-0.0633,1.5976,-0.266,1.0128,-0.1546,0.9983,-0.2407,0.7863,-0.0007,0.8216,-0.0293,0.4595,-0.2205,0.4281,-0.066,0.0938,-0.2978,0.0789,0.0246,0.0467,-0.1941,0.0214
0.61,-0.1552,1.3115,-0.1692,0.8036,-0.0531,1.5968,-0.2553,1.0111,-0.1412,0.9975,-0.232,0.7844,0.0172,0.8249,-0.0174,0.4581,-0.2168,0.428,-0.0298,0.0905,-0.2974,0.0796,0.0635,0.0493,-0.1941,0.0215
0.62,-0.1437,1.3099,-0.1584,0.8023,-0.0429,1.5958,-0.2444,1.0091,-0.128,0.9965,-0.2228,0.7824,0.0346,0.828,-0.0059,0.4562,-0.2129,0.4278,0.0056,0.0884,-0.297,0.0803,0.1014,0.0529,-0.1942,0.0215
0.63,-0.1322,1.3081,-0.1476,0.8007,-0.0327,1.5946,-0.2332,1.0069,-0.1149,0.9953,-0.213,0.7802,0.0517,0.8308,0.0053,0.454,-0.2087,0.4276,0.0398,0.0873,-0.2966,0.081,0.138,0.0574,-0.1943,0.0215
0.64,-0.1207,1.3061,-0.1366,0.7991,-0.0225,1.5933,-0.2218,1.0045,-0.1019,0.9938,-0.2027,0.7777,0.0683,0.8333,0.0164,0.4515,-0.2042,0.4274,0.0724,0.0871,-0.2961,0.0818,0.1729,0.0625,-0.1945,0.0215
0.65,-0.1092,1.304,-0.1256,0.7973,-0.0122,1.5919,-0.2102,1.0019,-0.0891,0.9922,-0.1918,0.7751,0.0843,0.8355,0.0273,0.4489,-0.1994,0.4272,0.1033,0.0875,-0.2956,0.0827,0.2059,0.068,-0.1946,0.0216
0.66,-0.0977,1.3019,-0.1144,0.7954,-0.002,1.5904,-0.1984,0.9991,-0.0764,0.9905,-0.1804,0.7724,0.0999,0.8374,0.0383,0.4461,-0.1942,0.4269,0.132,0.0883,-0.295,0.0837,0.2367,0.0736,-0.1947,0.0217
0.67,-0.0861,1.2997,-0.1031,0.7935,0.0084,1.5888,-0.1863,0.9963,-0.0639,0.9887,-0.1683,0.7696,0.1149,0.8389,0.0494,0.4434,-0.1885,0.4266,0.1584,0.0893,-0.2944,0.0849,0.265,0.0788,-0.1948,0.0217
0.68,-0.0745,1.2975,-0.0917,0.7916,0.0187,1.5873,-0.1739,0.9933,-0.0516,0.987,-0.1557,0.7667,0.1294,0.8401,0.0608,0.4408,-0.1824,0.4264,0.1823,0.0902,-0.2937,0.0862,0.2906,0.0834,-0.1948,0.0218
0.69,-0.0628,1.2953,-0.08,0.7897,0.0292,1.5857,-0.1613,0.9903,-0.0395,0.9852,-0.1425,0.7637,0.1433,0.8409,0.0723,0.4384,-0.1759,0.4261,0.2037,0.0908,-0.293,0.0877,0.3135,0.087,-0.1948,0.0219
0.7,-0.051,1.2932,-0.0682,0.7879,0.0397,1.5843,-0.1484,0.9872,-0.0276,0.9835,-0.1287,0.7607,0.1566,0.8414,0.0842,0.4361,-0.1688,0.4259,0.2224,0.091,-0.2921,0.0894,0.3335,0.0893,-0.1947,0.022
0.71,-0.0391,1.2912,-0.0562,0.7862,0.0503,1.5829,-0.1352,0.9842,-0.016,0.9819,-0.1144,0.7576,0.1693,0.8415,0.0964,0.434,-0.1611,0.4258,0.2387,0.0906,-0.2911,0.0914,0.3509,0.0901,-0.1946,0.022
0.72,-0.0271,1.2894,-0.0439,0.7847,0.061,1.5817,-0.1217,0.9812,-0.0045,0.9805,-0.0996,0.7546,0.1814,0.8412,0.1089,0.4322,-0.1529,0.4257,0.2525,0.0895,-0.2899,0.0937,0.3656,0.0894,-0.1944,0.022
0.73,-0.0149,1.2877,-0.0313,0.7832,0.0718,1.5806,-0.108,0.9783,0.0067,0.9793,-0.0842,0.7516,0.193,0.8407,0.1218,0.4307,-0.144,0.4256,0.2641,0.0879,-0.2885,0.0964,0.3778,0.0871,-0.1943,0.0219
0.74,-0.0025,1.2862,-0.0185,0.782,0.0828,1.5798,-0.094,0.9754,0.0178,0.9783,-0.0684,0.7487,0.2039,0.8398,0.135,0.4295,-0.1344,0.4255,0.2738,0.0858,-0.2867,0.0994,0.3879,0.0833,-0.1942,0.0218
0.75,0.01,1.2849,-0.0055,0.7809,0.0938,1.5791,-0.0796,0.9728,0.0286,0.9775,-0.0521,0.7459,0.2142,0.8385,0.1483,0.4286,-0.1239,0.4254,0.2819,0.0833,-0.2845,0.1028,0.3961,0.0782,-0.1943,0.0217
0.76,0.0227,1.2839,0.0078,0.78,0.105,1.5787,-0.065,0.9703,0.0392,0.9771,-0.0355,0.7433,0.2239,0.837,0.1618,0.428,-0.1125,0.4251,0.2885,0.0805,-0.2816,0.1065,0.4027,0.0721,-0.1944,0.0216
0.77,0.0355,1.2832,0.0213,0.7793,0.1163,1.5785,-0.0502,0.968,0.0497,0.9769,-0.0185,0.7409,0.2329,0.8352,0.1754,0.4278,-0.1,0.4247,0.2939,0.0777,-0.278,0.1107,0.4079,0.0654,-0.1946,0.0216
0.78,0.0484,1.2828,0.0349,0.7789,0.1277,1.5786,-0.035,0.9659,0.0599,0.9771,-0.0011,0.7387,0.2413,0.8332,0.1889,0.4278,-0.0863,0.424,0.2985,0.075,-0.2734,0.1153,0.412,0.0583,-0.1948,0.0218
0.79,0.0615,1.2826,0.0485,0.7786,0.1392,1.5789,-0.0196,0.9641,0.0701,0.9776,0.0166,0.7368,0.2491,0.8309,0.2023,0.4282,-0.0713,0.4231,0.3023,0.0726,-0.2678,0.1203,0.4152,0.0513,-0.1951,0.0223
0.8,0.0746,1.2827,0.0622,0.7785,0.1508,1.5794,-0.004,0.9626,0.08,0.9785,0.0345,0.7352,0.2562,0.8284,0.2154,0.4288,-0.055,0.4218,0.3055,0.0704,-0.2609,0.1256,0.4178,0.0446,-0.1951,0.0232
0.81,0.0878,1.2832,0.0758,0.7786,0.1625,1.58,0.0119,0.9615,0.0899,0.9796,0.0528,0.734,0.2626,0.8257,0.2282,0.4296,-0.0374,0.4202,0.3083,0.0687,-0.2526,0.1314,0.4199,0.0385,-0.1948,0.0246
0.82,0.1009,1.2838,0.0893,0.7789,0.1742,1.5809,0.0279,0.9606,0.0997,0.981,0.0713,0.7332,0.2684,0.8229,0.2404,0.4306,-0.0183,0.4183,0.3107,0.0673,-0.2428,0.1374,0.4215,0.0333,-0.1939,0.0266
0.83,0.114,1.2847,0.1026,0.7794,0.186,1.5819,0.0441,0.96,0.1094,0.9827,0.09,0.7328,0.2736,0.8199,0.2521,0.4316,0.002,0.4162,0.3127,0.0663,-0.2315,0.1438,0.4227,0.0289,-0.192,0.0294
0.84,0.127,1.2858,0.1156,0.78,0.1978,1.583,0.0604,0.9597,0.119,0.9845,0.1091,0.7328,0.2781,0.8169,0.2631,0.4326,0.0235,0.414,0.3144,0.0657,-0.2186,0.1504,0.4237,0.0255,-0.1888,0.0328
0.85,0.1398,1.2871,0.1285,0.7807,0.2096,1.5842,0.0767,0.9597,0.1285,0.9865,0.1285,0.7332,0.2821,0.8138,0.2734,0.4336,0.046,0.4119,0.3158,0.0653,-0.2041,0.1571,0.4244,0.0231,-0.184,0.037
0.86,0.1525,1.2886,0.1411,0.7816,0.2214,1.5855,0.0931,0.96,0.1379,0.9886,0.1481,0.734,0.2856,0.8107,0.2828,0.4343,0.0693,0.4099,0.317,0.0651,-0.1882,0.164,0.4249,0.0214,-0.1772,0.0419
0.87,0.165,1.2901,0.1534,0.7826,0.2331,1.5869,0.1094,0.9604,0.1472,0.9907,0.168,0.7351,0.2885,0.8077,0.2913,0.4349,0.0932,0.4082,0.3179,0.065,-0.1708,0.1708,0.4253,0.0205,-0.1681,0.0473
0.88,0.1774,1.2917,0.1655,0.7837,0.2448,1.5884,0.1257,0.961,0.1565,0.9927,0.1881,0.7366,0.291,0.8047,0.299,0.4353,0.1174,0.4071,0.3185,0.065,-0.152,0.1776,0.4254,0.0201,-0.1564,0.0531
0.89,0.1895,1.2934,0.1774,0.785,0.2564,1.5899,0.1419,0.9618,0.1657,0.9948,0.2084,0.7385,0.2931,0.8019,0.3058,0.4354,0.1418,0.4066,0.319,0.065,-0.1321,0.184,0.4255,0.0201,-0.1421,0.059
0.9,0.2015,1.2952,0.189,0.7864,0.268,1.5915,0.1579,0.9628,0.1748,0.9968,0.2289,0.7407,0.2948,0.7992,0.3118,0.4354,0.1661,0.4068,0.3193,0.065,-0.111,0.1901,0.4255,0.0203,-0.1249,0.0648
0.91,0.2132,1.2969,0.2003,0.788,0.2795,1.5931,0.1737,0.9639,0.1837,0.9987,0.2494,0.7432,0.2962,0.7968,0.3171,0.4353,0.1902,0.4078,0.3195,0.065,-0.089,0.1955,0.4254,0.0206,-0.1049,0.0703
0.92,0.2249,1.2988,0.2115,0.7896,0.2909,1.5948,0.1894,0.9651,0.1926,1.0007,0.27,0.746,0.2974,0.7947,0.3217,0.435,0.214,0.4095,0.3195,0.065,-0.066,0.2003,0.4252,0.021,-0.0824,0.0752
0.93,0.2363,1.3006,0.2226,0.7914,0.3022,1.5966,0.2049,0.9664,0.2014,1.0026,0.2906,0.7491,0.2983,0.7929,0.3259,0.4348,0.2373,0.412,0.3195,0.0649,-0.0423,0.2042,0.4251,0.0213,-0.0574,0.0793
0.94,0.2477,1.3025,0.2334,0.7933,0.3134,1.5983,0.2202,0.9679,0.21,1.0045,0.3111,0.7525,0.2991,0.7914,0.3296,0.4345,0.2603,0.415,0.3195,0.0649,-0.018,0.207,0.425,0.0215,-0.0302,0.0825
0.95,0.259,1.3043,0.2441,0.7953,0.3245,1.6,0.2352,0.9695,0.2185,1.0064,0.3314,0.7561,0.2998,0.7904,0.3331,0.4342,0.2827,0.4186,0.3195,0.0649,0.007,0.2087,0.4248,0.0216,-0.0012,0.0847
0.96,0.2702,1.3062,0.2548,0.7973,0.3356,1.6018,0.2501,0.9712,0.2269,1.0084,0.3516,0.76,0.3004,0.7897,0.3364,0.4339,0.3047,0.4225,0.3195,0.0648,0.0325,0.2092,0.4247,0.0217,0.0293,0.0858
