Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.8,-0.0247,0.0622,0.7785,-0.2268,0.2161,-0.0425,-0.4084,-0.8471,-0.4377,0.2928,0.1668,0.2899,-1.0983,-1.178
0.81,-0.0238,0.0758,0.7786,-0.2229,0.2079,-0.0308,-0.4094,-0.8357,-0.4355,0.282,0.1934,0.3347,-1.0884,-1.1365
0.82,-0.0231,0.0893,0.7789,-0.2189,0.199,-0.019,-0.4103,-0.8217,-0.4326,0.2668,0.2186,0.3844,-1.0816,-1.0904
0.83,-0.0226,0.1026,0.7794,-0.2152,0.1893,-0.0073,-0.4114,-0.8051,-0.4288,0.2475,0.2419,0.4385,-1.0787,-1.0412
0.84,-0.0224,0.1156,0.78,-0.2116,0.179,0.0042,-0.4128,-0.7862,-0.424,0.2243,0.2627,0.4961,-1.08,-0.9911
0.85,-0.0224,0.1285,0.7807,-0.2083,0.168,0.0154,-0.4148,-0.765,-0.4177,0.1976,0.2805,0.5562,-1.0854,-0.9424
0.86,-0.0226,0.1411,0.7816,-0.2052,0.1563,0.0262,-0.4175,-0.7418,-0.4099,0.1682,0.2949,0.6176,-1.0944,-0.8979
0.87,-0.0229,0.1534,0.7826,-0.2025,0.1442,0.0365,-0.4213,-0.7169,-0.4004,0.1367,0.3058,0.6786,-1.1064,-0.8598
0.88,-0.0233,0.1655,0.7837,-0.2002,0.1316,0.0464,-0.4261,-0.6907,-0.3891,0.1037,0.3129,0.7381,-1.1207,-0.8296
0.89,-0.0239,0.1774,0.785,-0.1981,0.1188,0.0557,-0.4323,-0.6633,-0.3759,0.0699,0.3163,0.7945,-1.1362,-0.8085
0.9,-0.0246,0.189,0.7864,-0.1963,0.1058,0.0647,-0.4397,-0.6353,-0.3611,0.0356,0.3163,0.8468,-1.1522,-0.7967
0.91,-0.0253,0.2003,0.788,-0.1947,0.0927,0.0733,-0.4484,-0.6068,-0.3449,0.0014,0.3131,0.894,-1.1678,-0.7939
0.92,-0.0262,0.2115,0.7896,-0.1933,0.0796,0.0816,-0.4584,-0.5782,-0.3274,-0.0325,0.3072,0.9355,-1.1826,-0.7993
0.93,-0.0271,0.2226,0.7914,-0.1918,0.0667,0.0897,-0.4694,-0.5498,-0.3091,-0.066,0.2991,0.9707,-1.196,-0.8121
0.94,-0.0281,0.2334,0.7933,-0.1904,0.054,0.0977,-0.4814,-0.5219,-0.2901,-0.099,0.2894,0.9997,-1.208,-0.8307
0.95,-0.0292,0.2441,0.7953,-0.1889,0.0416,0.1058,-0.4943,-0.4946,-0.2707,-0.1313,0.2784,1.0223,-1.2184,-0.8539
0.96,-0.0303,0.2548,0.7973,-0.1874,0.0297,0.114,-0.5078,-0.4683,-0.2512,-0.1628,0.2666,1.0388,-1.2273,-0.88
0.97,-0.0314,0.2654,0.7993,-0.1858,0.0182,0.1223,-0.5219,-0.443,-0.2314,-0.1935,0.2542,1.0492,-1.235,-0.9074
0.98,-0.0324,0.2759,0.8014,-0.1842,0.0073,0.131,-0.5363,-0.419,-0.2115,-0.2232,0.2414,1.0537,-1.2417,-0.9348
0.99,-0.0334,0.2865,0.8033,-0.1826,-0.003,0.1399,-0.551,-0.3963,-0.1915,-0.2517,0.2282,1.0527,-1.2476,-0.961
